2026-08-17 01:48:51,898 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=499 reward=-1596.95 cum_reward=-766340.86 coverage=0.233 valid_action_frac=0.029 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-21.4)}
2026-08-17 01:48:51,898 | INFO    | uav_swarm_ppo.experiments.run_experiment | Episode ended at step 499 (terminated=False, truncated=True)
2026-08-17 01:48:52,820 | INFO    | uav_swarm_ppo.experiments.run_experiment | Smoke test complete. Final info: {'coverage_fraction': 0.23267326732673269, 'valid_action_fraction': 0.029333333333333333, 'collision_counts': {'uav_uav': 126, 'uav_static_obstacle': 69, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1318}, 'step_count': 500, 'reward_breakdown': {'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5099999999998, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-21.437962785115438), 'total': np.float64(-1596.9479627851151)}}
2026-08-20 18:09:19,789 | INFO    | uav_swarm_ppo.experiments.run_experiment | Building SwarmFarmEnv...
2026-08-20 18:09:21,474 | INFO    | uav_swarm_ppo.experiments.run_experiment | Initial info: {'coverage_fraction': 0.01485148514851485, 'valid_action_fraction': 0.0, 'collision_counts': {'uav_uav': 0, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 0, 'uav_boundary': 0}, 'step_count': 0}
2026-08-20 18:09:28,461 | INFO    | uav_swarm_ppo.experiments.run_experiment | Gymnasium render() returned array of shape (900, 900, 3) dtype uint8
2026-08-20 18:09:28,477 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=  0 reward= 3875.25 cum_reward=   3875.25 coverage=0.025 valid_action_frac=0.667 breakdown={'exploration': 13.6, 'coverage': 3915.0, 'collision_avoidance': 0.0, 'boundary': 0.0, 'dynamic_obstacle_avoidance': -34.6, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-18.7)}
2026-08-20 18:09:28,636 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 20 reward= -431.06 cum_reward=  11806.74 coverage=0.129 valid_action_frac=0.365 breakdown={'exploration': 3.5, 'coverage': 634.7, 'collision_avoidance': 0.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-18.9)}
2026-08-20 18:09:28,760 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 40 reward= -528.88 cum_reward=   4362.24 coverage=0.198 valid_action_frac=0.301 breakdown={'exploration': 3.1, 'coverage': 538.1, 'collision_avoidance': 0.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-19.8)}
2026-08-20 18:09:28,868 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 60 reward=-1093.04 cum_reward= -14425.04 coverage=0.228 valid_action_frac=0.235 breakdown={'exploration': 3.3, 'coverage': -31.1, 'collision_avoidance': 0.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-14.9)}
