time/iterations,custom/collisions_uav_uav_mean,custom/valid_action_fraction_mean,rollout/ep_len_mean,time/total_timesteps,custom/collisions_uav_static_obstacle_mean,custom/reward_exploration_mean,time/fps,time/time_elapsed,custom/reward_energy_efficiency_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,custom/reward_coverage_mean,custom/coverage_fraction_mean,custom/reward_boundary_mean,custom/reward_collision_avoidance_mean,rollout/ep_rew_mean,custom/reward_dynamic_obstacle_avoidance_mean,custom/reward_uav_separation_mean,custom/reward_mission_completion_mean,custom/reward_total_mean,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
26,19.58,0.04902557569610886,500.0,53248,6.25,0.13895548895548895,188,282,-17.185732825528213,2.0,708.76,0.6602625000000003,0.23360148514851484,-646.9862000000003,0.0,-299407.49339363,-0.01255976574579023,-134.96049704457616,0.0,-798.3457716468947,0.623828125,250,0.13170302,0.0003,0.2,0.7869916558265686,0.012420376256341115,-0.12005136195220985,-4.304785352945328,-0.19505561888217926,,
27,11.66,0.04752393226256299,500.0,55296,14.57,0.33943001443001447,191,288,-17.665200932708355,0.66,744.46,-1.8565764705882344,0.23643557213930347,-604.2039000000001,-47.0,-299597.23320927005,-6.9173611763277565,-9.901234183916982,0.0,-687.2048427491114,0.62177734375,260,0.13809046,0.0003,0.2,0.715795636177063,0.010282261390966597,-0.11722617413615807,-4.3098007321357725,-0.19077609479427338,,
28,48.78,0.055840428748756506,500.0,57344,1.75,0.0,194,294,-18.860786045107464,0.25,816.25,0.0,0.28429295354908624,-675.51,0.0,-299061.47362758004,0.0,-91.16070146897796,0.0,-785.5314875140853,0.63916015625,270,0.1379832,0.0003,0.2,0.7994897365570068,0.011376274943177122,-0.11965760110178962,-4.295026648044586,-0.19680120050907135,,
29,23.7,0.06376946241612581,500.0,59392,7.0,0.16333333333333336,197,301,-20.358265073481004,0.75,795.41,-2.8026,0.3338197625732722,-657.2447000000002,0.0,-299895.15199565,0.0,-155.09848810601312,0.0,-835.3407198461608,0.609814453125,280,0.1425705,0.0003,0.2,0.7752079367637634,0.012488022320030722,-0.11328597944811918,-4.284680014848709,-0.19165568053722382,,
,,,,60000,,,,,,,,,,,,,,,,,0.63505859375,290,0.14451134,0.0003,0.2,0.8137125968933105,0.009984176693615154,-0.1173299901172868,-4.311851167678833,-0.19664797186851501,-316179.27048619994,500.0
30,33.68,0.04397270033101914,500.0,61440,7.5,0.32995004995004995,193,317,-18.66290849275331,2.5,837.65,-1.0461999999999991,0.24372238805970148,-620.2175000000002,-10.0,-300071.11668220995,-0.7925304791904031,-74.01656492158699,0.0,-724.4057538435806,,,,,,,,,,,,
31,34.9,0.04307284339345504,500.0,63488,9.21,0.08464646464646464,194,325,-16.498886723406816,0.5,876.22,-6.5394,0.2467101990049751,-629.4692000000002,-8.5,-299617.11144613,-0.1445704925170001,-47.313597728228224,0.0,-708.3810084795057,0.62822265625,300,0.13040388,0.0003,0.2,0.8033110499382019,0.011535901882234611,-0.11838549373787828,-4.279592567682267,-0.1934860199689865,,
32,28.8,0.04302692558301444,500.0,65536,12.59,0.23087705895755437,197,332,-17.49692439944968,2.0,951.88,-4.671,0.2529515459817432,-639.4828000000002,-13.5,-299430.86116946,0.0,-57.32970479412265,0.0,-732.2495521346148,0.6408203125,310,0.14682105,0.0003,0.2,0.8688268661499023,0.011041497846963465,-0.12303843260742724,-4.257151538133622,-0.19918370246887207,,
33,50.72,0.04168136962949594,500.0,67584,6.25,0.18915441176470588,199,338,-19.145889717319566,1.25,992.58,-3.114,0.2543718905472636,-652.993,0.0,-300563.20756355,-0.4346754567222055,-84.39594454555798,0.0,-759.8943553078349,0.63544921875,320,0.13943735,0.0003,0.2,0.7964487075805664,0.011459191739049857,-0.11602093682158739,-4.236839652061462,-0.18982277810573578,,
34,69.94,0.0359967881300949,500.0,69632,6.0,0.2314765300059418,201,345,-17.497683789552053,0.75,1027.77,-5.9166,0.22690922920892498,-640.7277000000001,0.0,-300053.31340587995,0.0,-66.6392308942496,0.0,-730.5497381537957,0.625732421875,330,0.14789063,0.0003,0.2,0.8094578981399536,0.013783333247920382,-0.11762860615272075,-4.232186961174011,-0.1910713165998459,,
