2026-08-28 00:20:46,338 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 86/200: reward=-296525.19 coverage=0.468 epsilon=0.050 mean_loss=1416805.5803
2026-08-28 00:20:48,582 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 87/200: reward=-323611.83 coverage=0.545 epsilon=0.050 mean_loss=791536.5254
2026-08-28 00:20:50,963 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 88/200: reward=-385330.31 coverage=0.413 epsilon=0.050 mean_loss=768939.8564
2026-08-28 00:20:53,168 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 89/200: reward=-170997.54 coverage=0.692 epsilon=0.050 mean_loss=621003.9803
2026-08-28 00:20:55,378 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 90/200: reward=-320525.29 coverage=0.644 epsilon=0.050 mean_loss=560644.7383
2026-08-28 00:20:57,715 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 91/200: reward=-396702.45 coverage=0.240 epsilon=0.050 mean_loss=632545.8155
2026-08-28 00:20:59,852 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 92/200: reward=-568262.99 coverage=0.322 epsilon=0.050 mean_loss=902849.5221
2026-08-28 00:21:02,343 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 93/200: reward=-388499.16 coverage=0.330 epsilon=0.050 mean_loss=1040446.6104
2026-08-28 00:21:04,549 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 94/200: reward=-495594.42 coverage=0.410 epsilon=0.050 mean_loss=1325351.1185
2026-08-28 00:21:07,066 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 95/200: reward=-183762.12 coverage=0.682 epsilon=0.050 mean_loss=610620.5550
2026-08-28 00:21:09,355 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 96/200: reward=-558075.55 coverage=0.408 epsilon=0.050 mean_loss=678620.4294
2026-08-28 00:21:11,743 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 97/200: reward=-230502.57 coverage=0.570 epsilon=0.050 mean_loss=797589.0886
2026-08-28 00:21:18,609 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 98/200: reward=-404974.13 coverage=0.675 epsilon=0.050 mean_loss=1183204.0317
2026-08-28 00:21:26,460 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 99/200: reward=-574704.59 coverage=0.287 epsilon=0.050 mean_loss=1263605.6635
2026-08-28 00:21:34,620 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 100/200: reward=-174990.47 coverage=0.802 epsilon=0.050 mean_loss=1093220.8954
2026-08-28 00:21:42,873 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 101/200: reward=-551810.40 coverage=0.363 epsilon=0.050 mean_loss=809616.0029
2026-08-28 00:21:50,676 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 102/200: reward=-423490.99 coverage=0.473 epsilon=0.050 mean_loss=1098836.4839
2026-08-28 00:21:58,338 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 103/200: reward=-390424.75 coverage=0.743 epsilon=0.050 mean_loss=953264.4431
2026-08-28 00:22:06,047 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 104/200: reward=-298059.95 coverage=0.600 epsilon=0.050 mean_loss=698860.4359
2026-08-28 00:22:13,501 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 105/200: reward=-503933.39 coverage=0.559 epsilon=0.050 mean_loss=552920.8556
2026-08-28 00:22:21,266 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 106/200: reward=-153803.45 coverage=0.761 epsilon=0.050 mean_loss=606845.4452
2026-08-28 00:22:29,614 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 107/200: reward=-563139.96 coverage=0.507 epsilon=0.050 mean_loss=1396118.7699
2026-08-28 00:22:37,448 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 108/200: reward=-132452.91 coverage=0.751 epsilon=0.050 mean_loss=583695.6662
2026-08-28 00:22:44,926 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 109/200: reward=-556035.42 coverage=0.517 epsilon=0.050 mean_loss=1658048.1682
2026-08-28 00:22:52,765 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 110/200: reward=-353232.08 coverage=0.617 epsilon=0.050 mean_loss=928440.7434
2026-08-28 00:22:59,989 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 111/200: reward=-653443.57 coverage=0.207 epsilon=0.050 mean_loss=1268996.3766
2026-08-28 00:23:07,624 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 112/200: reward=-148853.61 coverage=0.787 epsilon=0.050 mean_loss=621382.8072
2026-08-28 00:23:15,191 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 113/200: reward=-485847.51 coverage=0.587 epsilon=0.050 mean_loss=894197.1789
2026-08-28 00:23:22,752 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 114/200: reward=-514845.65 coverage=0.510 epsilon=0.050 mean_loss=1074183.4904
2026-08-28 00:23:30,120 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 115/200: reward=-411882.64 coverage=0.198 epsilon=0.050 mean_loss=952825.8460
2026-08-28 00:23:38,028 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 116/200: reward=-423442.04 coverage=0.495 epsilon=0.050 mean_loss=806420.2586
2026-08-28 00:23:45,741 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 117/200: reward=-187321.09 coverage=0.475 epsilon=0.050 mean_loss=763938.0340
2026-08-28 00:23:53,227 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 118/200: reward=-208781.17 coverage=0.695 epsilon=0.050 mean_loss=561348.0394
2026-08-28 00:24:00,565 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 119/200: reward=-868221.38 coverage=0.515 epsilon=0.050 mean_loss=902766.2156
2026-08-28 00:24:08,331 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 120/200: reward=-291573.00 coverage=0.284 epsilon=0.050 mean_loss=1843824.7149
2026-08-28 00:24:15,665 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 121/200: reward=-195150.68 coverage=0.630 epsilon=0.050 mean_loss=673465.4309
2026-08-28 00:24:23,421 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 122/200: reward=-406163.99 coverage=0.735 epsilon=0.050 mean_loss=846382.9231
2026-08-28 00:24:31,071 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 123/200: reward=-468034.06 coverage=0.485 epsilon=0.050 mean_loss=1000502.0632
2026-08-28 00:24:38,644 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 124/200: reward=-221711.29 coverage=0.687 epsilon=0.050 mean_loss=632299.0899
2026-08-28 00:24:46,071 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 125/200: reward=-367647.90 coverage=0.675 epsilon=0.050 mean_loss=857263.0175
2026-08-28 00:24:53,495 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 126/200: reward=-225364.70 coverage=0.795 epsilon=0.050 mean_loss=735069.5785
2026-08-28 00:25:01,167 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 127/200: reward=-499455.67 coverage=0.559 epsilon=0.050 mean_loss=998810.3636
2026-08-28 00:25:08,605 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 128/200: reward=-273823.52 coverage=0.624 epsilon=0.050 mean_loss=817815.5409
2026-08-28 00:25:16,097 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 129/200: reward=-776345.73 coverage=0.249 epsilon=0.050 mean_loss=1980268.3409
2026-08-28 00:25:23,612 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 130/200: reward=-718965.35 coverage=0.275 epsilon=0.050 mean_loss=1112850.8716
2026-08-28 00:25:31,074 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 131/200: reward=-263274.67 coverage=0.500 epsilon=0.050 mean_loss=1041566.4264
