#{"t_start": 1788280879.1170115, "env_id": "None"}
r,l,t
-165184.853247,500,6156.374669
-95331.176031,500,6165.017099
-252442.898772,500,6177.560495
-293810.777723,500,6181.99449
-195897.707984,500,6186.55762
-160463.41045,500,6195.016315
-167947.981869,500,6199.568452
-136195.850763,500,6211.967912
-170061.512034,500,6216.48814
-253690.867902,500,6225.227983
-176969.940948,500,6229.84883
-156180.915467,500,6234.532589
-156599.684825,500,6246.895765
-235126.325677,500,6255.364016
-159121.492176,500,6259.939281
-147173.967328,500,6264.626489
-168255.870729,500,6269.285293
-157668.357639,500,6286.074144
-276454.341472,500,6290.659819
-106183.242644,500,6295.254282
-299690.751242,500,6299.723674
-122671.682084,500,6308.332647
-238017.413082,500,6320.75336
-90551.620546,500,6325.30145
-231049.34971,500,6329.833168
-222376.465724,500,6338.31827
-182096.498158,500,6343.193317
-195349.202652,500,6356.138079
-151412.683057,500,6360.651948
-140917.403384,500,6369.25251
-216553.365797,500,6373.933409
-172347.206022,500,6378.582627
-153740.202735,500,6391.021472
-138957.358533,500,6399.74059
-207765.477895,500,6404.471898
-205377.263403,500,6409.0281
-104305.293739,500,6413.832249
-169210.275174,500,6430.040184
-250127.687866,500,6434.696279
-221063.408229,500,6439.273937
-174815.596462,500,6443.776882
-285778.301683,500,6448.303106
-146852.943604,500,6464.481677
-296263.359815,500,6469.068668
-139927.510742,500,6473.74685
-165058.599452,500,6478.327258
-134868.275521,500,6486.880996
-103292.059896,500,6499.426896
-237383.100825,500,6503.963486
-202049.148226,500,6508.571479
-244438.479906,500,6517.113264
-150364.483874,500,6521.906901
-217066.053159,500,6534.348035
-214767.571653,500,6539.13543
-131357.595714,500,6547.773674
-229985.885763,500,6552.272106
-229758.476821,500,6556.897714
-122973.227942,500,6569.30417
-196428.21068,500,6577.910192
-142553.345488,500,6582.593739
-122562.88126,500,6587.291406
-276950.771804,500,6591.876772
-229626.613162,500,6608.174114
-135621.430057,500,6612.827
-168329.463658,500,6617.385809
-154023.146725,500,6621.9128
-147801.911157,500,6630.672303
-187240.413201,500,6643.261289
-142364.205888,500,6647.937854
-102012.446743,500,6652.60123
-101659.891413,500,6661.169839
-139222.362624,500,6665.782168
-265640.144371,500,6678.095261
-173524.372652,500,6682.639427
-128410.151519,500,6691.331452
-190593.845412,500,6695.937063
-153441.816191,500,6700.642048
-123491.53392,500,6713.093677
-274650.187109,500,6721.662477
-171189.691237,500,6726.270649
-208703.754034,500,6730.754258
-214874.849415,500,6735.2919
-333577.980764,500,6747.52733
-87886.745737,500,6756.176028
-130276.761799,500,6760.793175
-123949.469748,500,6765.617675
-148497.390495,500,6770.227185
-154400.384382,500,6786.574826
-101798.17731,500,6791.18132
-172149.032878,500,6795.771387
-322618.822295,500,6800.19872
-129887.371089,500,6808.912229
-168003.641039,500,6821.430085
-99996.000503,500,6826.247556
-137530.925629,500,6830.805535
-165658.824788,500,6839.410018
-167412.515196,500,6844.141318
-59085.706139,500,6856.853931
-105815.156488,500,6861.491679
-236727.756195,500,6870.958406
-197630.155001,500,6876.701035
-86374.635177,500,6881.547613
-212094.457984,500,6894.138199
-173295.058739,500,6902.892211
-158634.950589,500,6907.684673
-153077.451766,500,6912.424397
-169747.15546,500,6917.135512
-211250.944997,500,6934.113176
-153786.521131,500,6938.866712
-136181.438681,500,6943.686827
-136920.184368,500,6948.419918
-175138.805606,500,6957.185587
-116053.724413,500,6969.750807
-121073.527795,500,6974.351292
-175617.544229,500,6978.947247
