custom/valid_action_fraction_mean,custom/reward_uav_separation_mean,time/iterations,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/reward_collision_avoidance_mean,custom/coverage_fraction_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,rollout/ep_len_mean,custom/reward_mission_completion_mean,time/total_timesteps,custom/reward_total_mean,custom/collisions_uav_uav_mean,custom/collisions_uav_static_obstacle_mean,custom/reward_dynamic_obstacle_avoidance_mean,time/time_elapsed,custom/reward_boundary_mean,custom/reward_exploration_mean,time/fps,custom/reward_coverage_mean,train/policy_gradient_loss,eval/mean_ep_length,train/value_loss,train/learning_rate,train/approx_kl,eval/mean_reward,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/loss
0.03677314699335653,-49.34882445367297,31,-271426.62414332,-17.798701872287786,0.0,0.2759636840549727,2.25,1187.45,500.0,0.0,253952,-736.8166263259608,40.04,6.5,0.0,2594,-668.7549,0.019999999999999997,97,-0.9342,,,,,,,,,,,,
,,,,,,,,,,,260000,,,,,,,,,,-0.11531752730079461,500.0,0.002868748488572237,0.0003,0.2125884,-240008.877942,0.2,0.67718505859375,310,-3.6027782343328,0.9166793823242188,-0.18598783016204834
0.35322672705468855,0.0,32,-267421.09347257996,-17.070202756752746,-61.5,0.14126233538191393,0.75,7.67,500.0,0.0,262144,426.64562233091914,0.0,1.72,-2.9211091170409555,2631,-121.0816,8.621236895293126,99,620.5972973094197,,,,,,,,,,,,
,,,,,,,,,,,270000,,,,,,,,,,-0.1216219353635097,500.0,0.0024294668231959805,0.0003,0.22212583,-313775.20650820003,0.2,0.689794921875,320,-3.5502986878156664,0.9312851428985596,-0.18943016231060028
0.1815197074784633,-27.40992715654368,33,-271376.54065867007,-18.39081817872052,-43.0,0.20925447761194033,0.25,86.72,500.0,0.0,270336,-438.61530471308686,1.18,3.55,-1.644972980046711,2665,-407.2992,2.2982377894536326,101,56.831375812770375,,,,,,,,,,,,
0.14140027582160467,-65.58848715408662,34,-267103.77888134005,-17.117019691251528,-10.0,0.2665627976296637,0.82,228.15,500.0,0.0,278528,-593.1913473848876,4.26,3.99,-8.075343936587496,2692,-548.6597,1.0175701837946083,103,55.23163321324334,-0.12094348111568251,,0.0023221193996505463,0.0003,0.23237464,,0.2,0.68900146484375,330,-3.560314927250147,0.9389498233795166,-0.19048117101192474
,,,,,,,,,,,280000,,,,,,,,,,-0.12106431000574958,500.0,0.002298351348235883,0.0003,0.24273199,-309319.5565354,0.2,0.6943603515625,340,-3.5630426071584225,0.9258766174316406,-0.19358153641223907
0.10616495335136555,-11.202727820147418,35,-267249.97211645,-18.650384946991704,-51.5,0.28106094527363185,0.64,272.05,500.0,0.0,286720,-514.2707422820117,4.4,8.69,-13.021044575513642,2727,-434.823,1.3490332241792395,105,13.57738183646186,,,,,,,,,,,,
,,,,,,,,,,,290000,,,,,,,,,,-0.12202966576442123,500.0,0.0020407472735314513,0.0003,0.24889538,-283905.0449440001,0.2,0.69876708984375,350,-3.535135917365551,0.8797464370727539,-0.1833541989326477
0.09032981665917869,-55.46565982852866,36,-265922.61897229997,-18.370425256396455,-20.5,0.30655566502463055,0.5,437.41,500.0,0.0,294912,-664.3344311130012,9.5,3.09,-1.928125658997273,2840,-560.4216,0.47260463092119437,103,-8.121224999999997,,,,,,,,,,,,
,,,,,,,,,,,300000,,,,,,,,,,-0.12278115189110395,500.0,0.002168280817659252,0.0003,0.25588593,-335781.91089460003,0.2,0.68553466796875,360,-3.515293086320162,0.9273679256439209,-0.19210968911647797
0.0888473049008995,-17.27729231382221,37,-262422.66965945996,-16.910174793202405,-8.5,0.36411014018577065,0.5,550.53,500.0,0.0,303104,-658.8014528830886,11.06,4.76,-2.2106621441119922,2956,-616.4624000000001,0.451532634032634,102,2.107543734015347,,,,,,,,,,,,
,,,,,,,,,,,310000,,,,,,,,,,-0.11777960803301539,500.0,0.002081918459816734,0.0003,0.24531777,-322566.14616,0.2,0.69129638671875,370,-3.4544696882367134,0.9149138331413269,-0.1859634965658188
0.07213677766868704,0.0,38,-262374.65219718,-17.61031246079475,0.0,0.3503530340906306,0.25,680.17,500.0,0.0,311296,-612.5417464972534,14.5,1.5,-0.7908337827433255,3074,-598.7005000000001,0.34535429697581405,101,4.214545449308758,,,,,,,,,,,,
0.05330716387783608,-17.78793634891893,39,-258052.05709213007,-16.38570957480133,0.0,0.29979937963067593,0.75,819.97,500.0,0.0,319488,-660.8080081224698,20.5,1.25,-0.6912183060410239,3161,-623.2175000000002,0.16405610729140144,101,-2.889699999999999,-0.11664341035648249,,0.0024693603289506426,0.0003,0.23633102,,0.2,0.690478515625,380,-3.4785219483077525,0.9157856702804565,-0.18379269540309906
,,,,,,,,,,,320000,,,,,,,,,,-0.11283015409862855,500.0,0.002218326040156171,0.0003,0.24671341,-275914.3800674,0.2,0.69117431640625,390,-3.4427061676979065,0.912479817867279,-0.18169501423835754
0.04840137688337538,-61.19636349152522,40,-261157.20566465997,-16.542886964136464,0.0,0.30849522021167636,1.1,1006.27,500.0,0.0,327680,-708.4053614261383,24.68,6.75,-7.925119281094834,3279,-632.4760000000002,0.5547691891441892,99,9.180239121474052,,,,,,,,,,,,
,,,,,,,,,,,330000,,,,,,,,,,-0.11470384919375647,500.0,0.0027128624340093666,0.0003,0.24846935,-301000.2064226,0.2,0.68836669921875,400,-3.4250453270971777,0.8993915319442749,-0.17937925457954407
0.053234199746934496,-18.14356688239745,41,-260500.54596750997,-16.994818188953797,0.0,0.37435839037125407,1.0,1002.28,500.0,0.0,335872,-661.7880281487787,14.72,12.0,-2.590450249727669,3395,-636.9794000000003,0.23514957264957265,98,12.685057599650685,,,,,,,,,,,,
,,,,,,,,,,,340000,,,,,,,,,,-0.1191107583057601,500.0,0.0019738735843930046,0.0003,0.25567168,-262751.4623764,0.2,0.69547119140625,410,-3.4333327911794185,0.9247156381607056,-0.188094824552536
