2026-08-28 00:19:44,221 | INFO    | uav_swarm_ppo.episode_logger | Episode 59 ended: steps=500 total_reward=-245470.68 coverage=0.291 valid_action_frac=0.037 collisions={'uav_uav': 0, 'uav_static_obstacle': 4, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1405}
2026-08-28 00:19:44,666 | INFO    | uav_swarm_ppo.episode_logger | Episode 60 started (seed=101).
2026-08-28 00:19:46,510 | INFO    | uav_swarm_ppo.episode_logger | Episode 60 ended: steps=500 total_reward=-159810.77 coverage=0.756 valid_action_frac=0.099 collisions={'uav_uav': 30, 'uav_static_obstacle': 26, 'uav_dynamic_obstacle': 2, 'uav_boundary': 816}
2026-08-28 00:19:46,909 | INFO    | uav_swarm_ppo.episode_logger | Episode 61 started (seed=102).
2026-08-28 00:19:49,217 | INFO    | uav_swarm_ppo.episode_logger | Episode 61 ended: steps=500 total_reward=-366733.81 coverage=0.815 valid_action_frac=0.107 collisions={'uav_uav': 452, 'uav_static_obstacle': 9, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1039}
2026-08-28 00:19:49,613 | INFO    | uav_swarm_ppo.episode_logger | Episode 62 started (seed=103).
2026-08-28 00:19:51,496 | INFO    | uav_swarm_ppo.episode_logger | Episode 62 ended: steps=500 total_reward=-432191.81 coverage=0.335 valid_action_frac=0.043 collisions={'uav_uav': 446, 'uav_static_obstacle': 13, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1151}
2026-08-28 00:19:51,860 | INFO    | uav_swarm_ppo.episode_logger | Episode 63 started (seed=104).
2026-08-28 00:19:53,799 | INFO    | uav_swarm_ppo.episode_logger | Episode 63 ended: steps=500 total_reward=-430219.81 coverage=0.490 valid_action_frac=0.064 collisions={'uav_uav': 484, 'uav_static_obstacle': 2, 'uav_dynamic_obstacle': 3, 'uav_boundary': 1105}
2026-08-28 00:19:54,270 | INFO    | uav_swarm_ppo.episode_logger | Episode 64 started (seed=105).
2026-08-28 00:19:56,080 | INFO    | uav_swarm_ppo.episode_logger | Episode 64 ended: steps=500 total_reward=-153311.26 coverage=0.720 valid_action_frac=0.094 collisions={'uav_uav': 0, 'uav_static_obstacle': 16, 'uav_dynamic_obstacle': 2, 'uav_boundary': 911}
2026-08-28 00:19:56,462 | INFO    | uav_swarm_ppo.episode_logger | Episode 65 started (seed=106).
2026-08-28 00:19:58,278 | INFO    | uav_swarm_ppo.episode_logger | Episode 65 ended: steps=500 total_reward=-254405.82 coverage=0.830 valid_action_frac=0.109 collisions={'uav_uav': 218, 'uav_static_obstacle': 18, 'uav_dynamic_obstacle': 1, 'uav_boundary': 959}
2026-08-28 00:19:58,702 | INFO    | uav_swarm_ppo.episode_logger | Episode 66 started (seed=107).
2026-08-28 00:20:00,597 | INFO    | uav_swarm_ppo.episode_logger | Episode 66 ended: steps=500 total_reward=-237950.83 coverage=0.592 valid_action_frac=0.077 collisions={'uav_uav': 132, 'uav_static_obstacle': 8, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1021}
2026-08-28 00:20:01,002 | INFO    | uav_swarm_ppo.episode_logger | Episode 67 started (seed=108).
2026-08-28 00:20:02,806 | INFO    | uav_swarm_ppo.episode_logger | Episode 67 ended: steps=500 total_reward=-271024.43 coverage=0.527 valid_action_frac=0.069 collisions={'uav_uav': 128, 'uav_static_obstacle': 9, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1183}
2026-08-28 00:20:03,288 | INFO    | uav_swarm_ppo.episode_logger | Episode 68 started (seed=109).
